"Country or Area","Year","Value","Value Footnotes"
"Albania","2017","6.96","1"
"Argentina","2020","-5.08","2"
"Armenia","2018","2.4","3"
"Austria","2020","1.14","4"
"Bangladesh","2016","1.54","5"
"Belarus","2019","0.23","6"
"Belgium","2020","1.41","4"
"Benin","2015","0.07","7"
"Bhutan","2017","1.67","8"
"Bolivia","2020","-0.18","4"
"Botswana","2015","-3.3","9"
"Brazil","2019","0.13","10"
"Bulgaria","2020","9.25","2"
"Burkina Faso","2014","2.93","11"
"CÃ´te d'Ivoire","2015","-0.22","12"
"Cameroon","2014","3.84","13"
"Canada","2017","1.17","14"
"Chile","2020","2.5","4"
"China","2019","6.28","6"
"Colombia","2020","-3.31","4"
"Congo","2011","4.65","15"
"Costa Rica","2020","-2.26","4"
"Croatia","2020","6.21","4"
"Cyprus","2020","3.11","4"
"Czech Republic","2020","4.13","4"
"Dem. Rep. Congo","2012","9.83","16"
"Denmark","2020","1.23","4"
"Dominican Republic","2016","4.25","17"
"Ecuador","2020","-2.57","4"
"Egypt","2017","-1.13","8"
"El Salvador","2019","4.02","10"
"Estonia","2020","6.1","4"
"Eswatini","2016","6.14","18"
"Ethiopia","2015","2.14","19"
"Fiji","2013","-0.51","20"
"Finland","2020","1.49","4"
"France","2019","0.77","10"
"Georgia","2020","-1.5","21"
"Germany","2018","1.8","22"
"Ghana","2016","1.27","23"
"Greece","2020","3.04","4"
"Guinea","2012","4.94","24"
"Honduras","2019","0.64","10"
"Hungary","2020","6.12","4"
"Iceland","2018","5.26","22"
"India","2019","4.86","25"
"Indonesia","2019","3.91","25"
"Iran","2019","-1.38","6"
"Iraq","2012","1.11","26"
"Ireland","2019","4.7","10"
"Israel","2018","2.83","22"
"Italy","2019","1.33","10"
"Jordan","2010","5.77","27"
"Kazakhstan","2018","-0.23","3"
"Korea","2016","2.25","28"
"Kosovo","2017","1.89","8"
"Kyrgyz Republic","2020","1.14","21"
"Lao PDR","2018","3.07","29"
"Latvia","2020","6.71","4"
"Lithuania","2020","8.2","4"
"Luxembourg","2020","1.34","4"
"Madagascar","2012","-2.27","30"
"Malawi","2019","-6.11","31"
"Malaysia","2015","4.97","32"
"Mali","2009","-1.49","33"
"Malta","2020","3.74","4"
"Mauritania","2014","1.56","34"
"Mauritius","2017","2.02","8"
"Mexico","2020","-0.68","2"
"Moldova","2019","1.18","6"
"Mongolia","2018","-3.15","35"
"Montenegro","2019","1.9","10"
"Mozambique","2014","5.36","34"
"Myanmar","2017","1.28","36"
"Namibia","2015","6.64","9"
"Nepal","2010","4.68","37"
"Netherlands","2020","2.81","4"
"Nicaragua","2014","6.52","38"
"Niger","2014","3.26","39"
"North Macedonia","2019","4.93","10"
"Norway","2020","0.36","4"
"Pakistan","2018","1.25","3"
"Panama","2019","4.47","10"
"Paraguay","2020","-1.98","4"
"Peru","2020","-3.44","4"
"Philippines","2018","3.35","40"
"Poland","2019","5.01","10"
"Portugal","2020","4.16","4"
"Romania","2020","13.43","4"
"Russia","2020","-0.47","21"
"Rwanda","2016","-0.16","41"
"Senegal","2011","0.27","15"
"Serbia","2018","1.48","42"
"Seychelles","2018","-1.57","22"
"Sierra Leone","2018","2.86","43"
"Slovak Republic","2020","2.9","4"
"Slovenia","2020","2.82","4"
"South Africa","2014","-1.23","44"
"Spain","2020","2.62","4"
"Sri Lanka","2016","4.12","23"
"Sweden","2020","1.58","4"
"Switzerland","2019","0.08","10"
"TÃ¼rkiye","2019","1.47","6"
"Tajikistan","2015","2.67","9"
"Tanzania","2018","0.92","43"
"Thailand","2019","0.08","25"
"The Gambia","2015","-0.46","19"
"Togo","2015","0.62","7"
"Tonga","2015","0.6","9"
"Tunisia","2015","3.38","19"
"Uganda","2019","-0.26","31"
"Ukraine","2020","4.12","21"
"United Arab Emirates","2018","1.84","22"
"United Kingdom","2018","2.66","22"
"United States","2019","4.27","10"
"Uruguay","2019","0","10"
"Vietnam","2018","6.46","35"
"West Bank and Gaza","2016","-0.55","45"
"Zambia","2015","2.93","19"
"Zimbabwe","2017","-3.5","46"

"footnoteSeqID","Footnote"
"1","Estimated from consumption data. Growth rates are for the period of 2014-2017."
"2","Estimated from income data. Growth rates are for the period of 2016-2020."
"3","Estimated from consumption data. Growth rates are for the period of 2013-2018."
"4","Estimated from income data. Growth rates are for the period of 2015-2020."
"5","Estimated from consumption data. Growth rates are for the period of 2010-2016."
"6","Estimated from consumption data. Growth rates are for the period of 2014-2019."
"7","Estimated from consumption data. Growth rates are for the period of 2011-2015."
"8","Estimated from consumption data. Growth rates are for the period of 2012-2017."
"9","Estimated from consumption data. Growth rates are for the period of 2009-2015."
"10","Estimated from income data. Growth rates are for the period of 2014-2019."
"11","Estimated from consumption data. Growth rates are for the period of 2009-2014."
"12","Estimated from consumption data. Growth rates are for the period of 2008-2015."
"13","Estimated from consumption data. Growth rates are for the period of 2007-2014."
"14","Estimated from income data. Growth rates are for the period of 2012-2017."
"15","Estimated from consumption data. Growth rates are for the period of 2005-2011."
"16","Estimated from consumption data. Growth rates are for the period of 2004-2012."
"17","Estimated from income data. Growth rates are for the period of 2011-2016."
"18","Estimated from consumption data. Growth rates are for the period of 2009-2016."
"19","Estimated from consumption data. Growth rates are for the period of 2010-2015."
"20","Estimated from consumption data. Growth rates are for the period of 2008-2013."
"21","Estimated from consumption data. Growth rates are for the period of 2015-2020."
"22","Estimated from income data. Growth rates are for the period of 2013-2018."
"23","Estimated from consumption data. Growth rates are for the period of 2012-2016."
"24","Estimated from consumption data. Growth rates are for the period of 2007-2012."
"25","Estimated from consumption data. Growth rates are for the period of 2015-2019."
"26","Estimated from consumption data. Growth rates are for the period of 2006-2012."
"27","Estimated from consumption data. Growth rates are for the period of 2008-2010."
"28","Estimated from income data. Growth rates are for the period of 2012-2016."
"29","Estimated from consumption data. Growth rates are for the period of 2012-2018."
"30","Estimated from consumption data. Growth rates are for the period of 2010-2012."
"31","Estimated from consumption data. Growth rates are for the period of 2016-2019."
"32","Estimated from income data. Growth rates are for the period of 2011-2015."
"33","Estimated from consumption data. Growth rates are for the period of 2006-2009."
"34","Estimated from consumption data. Growth rates are for the period of 2008-2014."
"35","Estimated from consumption data. Growth rates are for the period of 2014-2018."
"36","Estimated from consumption data. Growth rates are for the period of 2015-2017."
"37","Estimated from consumption data. Growth rates are for the period of 2003-2010."
"38","Estimated from income data. Growth rates are for the period of 2009-2014."
"39","Estimated from consumption data. Growth rates are for the period of 2011-2014."
"40","Estimated from income data. Growth rates are for the period of 2015-2018."
"41","Estimated from consumption data. Growth rates are for the period of 2013-2016."
"42","Estimated from income data. Growth rates are for the period of 2014-2018."
"43","Estimated from consumption data. Growth rates are for the period of 2011-2018."
"44","Estimated from consumption data. Growth rates are for the period of 2010-2014."
"45","Estimated from consumption data. Growth rates are for the period of 2011-2016."
"46","Estimated from consumption data. Growth rates are for the period of 2011-2017."
